"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABAU","","Abutilon auritum (Wall. ex Link) Sweet","Asian Indian mallow","Malvaceae"
"ABELM","","Abelmoschus Medik.","okra","Malvaceae"
"ABER","","Abutilon eremitopetalum Caum","hiddenpetal Indian mallow","Malvaceae"
"ABGR3","","Abutilon grandifolium (Willd.) Sweet","hairy Indian mallow","Malvaceae"
"ABIN","","Abutilon incanum (Link) Sweet","pelotazo","Malvaceae"
"ABIN","ABINI","Abutilon incanum (Link) Sweet ssp. incanum","","Malvaceae"
"ABIN","ABINP","Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe","","Malvaceae"
"ABIN","ABPR4","Abutilon pringlei Hochr.","","Malvaceae"
"ABIN3","","Abutilon indicum (L.) Sweet","monkeybush","Malvaceae"
"ABME2","","Abutilon menziesii Seem.","ko'oloa 'ula","Malvaceae"
"ABMO","","Abelmoschus moschatus Medik.","musk okra","Malvaceae"
"ABMO","HIAB","Hibiscus abelmoschus L.","","Malvaceae"
"ABPR3","","Abrus precatorius L.","rosarypea","Fabaceae"
"ABPR3","ABAB2","Abrus abrus (L.) W. Wight, nom. inval.","","Fabaceae"
"ABRUS","","Abrus Adans.","abrus","Fabaceae"
"ABSA2","","Abutilon sandwicense (O. Deg.) Christoph.","greenflower Indian mallow","Malvaceae"
"ABSA2","ABSA4","Abortopetalum sandwicense O. Deg.","","Malvaceae"
"ABSA2","ABSAW","Abutilon sandwicense (O. Deg.) Christoph. var. welchii Christoph.","","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ACACI","","Acacia Mill.","acacia","Fabaceae"
"ACAEN","","Acaena Mutis ex L.","acaena","Rosaceae"
"ACAN10","","Acacia aneura F. Muell. ex Benth.","mulga","Fabaceae"
"ACANT3","","Acanthospermum Schrank","starbur","Asteraceae"
"ACANT6","","Acanthocereus (Engelm. ex A. Berger) Britton & Rose","triangle cactus","Cactaceae"
"ACAS","","Achyranthes aspera L.","devil's horsewhip","Amaranthaceae"
"ACAS","ACCA37","Achyranthes canescens R. Br.","","Amaranthaceae"
"ACASA","","Achyranthes aspera L. var. aspera","devil's horsewhip","Amaranthaceae"
"ACASA","ACIN4","Achyranthes indica (L.) Mill.","","Amaranthaceae"
"ACASA","CEAS3","Centrostachys aspera (L.) Standl.","","Amaranthaceae"
"ACASA","CEIN6","Centrostachys indica (L.) Standl.","","Amaranthaceae"
"ACASP","","Achyranthes aspera L. var. pubescens (Moq.) Townsend","devil's horsewhip","Amaranthaceae"
"ACAU2","","Acanthospermum australe (Loefl.) Kuntze","Paraguayan starbur","Asteraceae"
"ACAU2","ACXA","Acanthospermum xanthioides DC.","","Asteraceae"
"ACAU2","MEAU","Melampodium australe Loefl.","","Asteraceae"
"ACAU3","","Acrostichum aureum L.","golden leatherfern","Pteridaceae"
"ACCO","","Acacia confusa Merr.","small Philippine acacia","Fabaceae"
"ACEX","","Acaena exigua A. Gray","liliwai","Rosaceae"
"ACEX","ACEXG","Acaena exigua A. Gray var. glaberrima Bitter","","Rosaceae"
"ACEX","ACEXG2","Acaena exigua A. Gray var. glabriuscula Bitter","","Rosaceae"
"ACEX","ACEXS","Acaena exigua A. Gray var. subtusstrigulosa Bitter","","Rosaceae"
"ACHI","","Acanthospermum hispidum DC.","hispid starbur","Asteraceae"
"ACHIL","","Achillea L.","yarrow","Asteraceae"
"ACHYR2","","Achyranthes L.","chaff flower","Amaranthaceae"
"ACKO","","Acacia koa A. Gray","koa","Fabaceae"
"ACKO","ACKA","Acacia kauaiensis Hillebr.","","Fabaceae"
"ACKO","ACKOH","Acacia koa A. Gray var. hawaiiensis Rock","","Fabaceae"
"ACKO","ACKOL","Acacia koa A. Gray var. lanaiensis Rock","","Fabaceae"
"ACKO","ACKOW","Acacia koa A. Gray var. waimeae Hochr.","","Fabaceae"
"ACKO2","","Acacia koaia Hillebr.","koaoha","Fabaceae"
"ACME","","Acacia melanoxylon R. Br.","blackwood","Fabaceae"
"ACME80","","Acacia mearnsii De Wild.","black wattle","Fabaceae"
"ACME80","ACDEM","Acacia decurrens (Wendl. f.) Willd. var. mollis Lindl.","","Fabaceae"
"ACMI2","","Achillea millefolium L.","common yarrow","Asteraceae"
"ACMIM2","","Achillea millefolium L. var. millefolium","common yarrow","Asteraceae"
"ACMIM2","ACMA14","Achillea magna auct.","","Asteraceae"
"ACMU2","","Achyranthes mutica A. Gray","blunt chaff flower","Amaranthaceae"
"ACMU2","ACNE3","Achyranthes nelsonii H. St. John","","Amaranthaceae"
"ACPA81","","Acacia parramattensis Tindale","South Wales wattle","Fabaceae"
"ACROS","","Acrostichum L.","leatherfern","Pteridaceae"
"ACSP3","","Achyranthes splendens Mart. ex Moq.","Maui chaff flower","Amaranthaceae"
"ACSPA2","","Achyranthes splendens Mart. ex Moq. var. atollensis (H. St. John) Govaerts","","Amaranthaceae"
"ACSPA2","ACAT","Achyranthes atollensis H. St. John","","Amaranthaceae"
"ACSPR2","","Achyranthes splendens Mart. ex Moq. var. rotundata Hillebr.","Maui chaff flower","Amaranthaceae"
"ACSPR2","ACSPR","Achyranthes splendens Mart. ex Moq. var. reflecta Hillebr.","","Amaranthaceae"
"ACSPS","","Achyranthes splendens Mart. ex Moq. var. splendens","Maui chaff flower","Amaranthaceae"
"ACTE4","","Acanthocereus tetragonus (L.) Humm.","triangle cactus","Cactaceae"
"ACTE4","ACFL3","Acanthocereus floridanus Small ex Britton & Rose","","Cactaceae"
"ACTE4","ACPE5","Acanthocereus pentagonus (L.) Britton & Rose","","Cactaceae"
"ACTE4","CATE30","Cactus tetragonus L.","","Cactaceae"
"ACTE4","CEPE4","Cereus pentagonus (L.) Haw.","","Cactaceae"
"ADAB","","Adenophorus abietinus (D.C. Eaton) K.A. Wilson","elegant kihifern","Grammitidaceae"
"ADAB2","","Adenophorus ×abbottiae W.H. Wagner [hymenophylloides × tamariscinus]","kihifern","Grammitidaceae"
"ADCA","","Adiantum capillus-veneris L.","common maidenhair","Pteridaceae"
"ADCA","ADCAM","Adiantum capillus-veneris L. var. modestum (Underw.) Fernald","","Pteridaceae"
"ADCA","ADCAP","Adiantum capillus-veneris L. var. protrusum Fernald","","Pteridaceae"
"ADCA","ADMO2","Adiantum modestum Underw.","","Pteridaceae"
"ADCA5","","Adenophorus ×carsonii T.A. Ranker [hymenophylloides × tripinnatifidus]","kihifern","Grammitidaceae"
"ADENA","","Adenanthera L.","beadtree","Fabaceae"
"ADENO3","","Adenophorus Gaudich.","kihifern","Grammitidaceae"
"ADENO4","","Adenostemma J.R. Forst. & G. Forst.","medicineplant","Asteraceae"
"ADEP","","Adenophorus epigaeus (Bishop) W.H. Wagner","Kauai kihifern","Grammitidaceae"
"ADEP","ADTAE","Adenophorus tamariscinus (Kaulf.) Hook. & Grev. var. epigaeus Bishop","","Grammitidaceae"
"ADHA","","Adenophorus haalilioanus (Brack.) K.A. Wilson","island kihifern","Grammitidaceae"
"ADHA","POHA14","Polypodium haalilioanum Brack.","","Grammitidaceae"
"ADHI","","Adiantum hispidulum Sw.","rough maidenhair","Pteridaceae"
"ADHY","","Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.","filmy kihifern","Grammitidaceae"
"ADHY","AMHY3","Amphoradenium hymenophylloides (Kaulf.) Copeland","","Grammitidaceae"
"ADHY","POHY5","Polypodium hymenophylloides Kaulf.","","Grammitidaceae"
"ADIAN","","Adiantum L.","maidenhair fern","Pteridaceae"
"ADLA2","","Adenostemma lavenia (L.) Kuntze","common medicineplant","Asteraceae"
"ADLA2","ADVI2","Adenostemma viscosum J.R. Forst. & G. Forst.","","Asteraceae"
"ADLA2","VELA4","Verbesina lavenia L.","","Asteraceae"
"ADMO3","","Adenophorus montanus (Hillebr.) W.H. Wagner","Maui kihifern","Grammitidaceae"
"ADMO3","ADTAM","Adenophorus tamariscinus (Kaulf.) Hook. & Grev. var. montanus (Hillebr.) Bishop","","Grammitidaceae"
"ADOA","","Adenophorus oahuensis (Copeland) Bishop","Oahu kihifern","Grammitidaceae"
"ADOA","GROA","Grammitis oahuensis Copeland","","Grammitidaceae"
"ADPA","","Adenanthera pavonina L.","red beadtree","Fabaceae"
"ADPE2","","Adenophorus periens Bishop","pendant kihifern","Grammitidaceae"
"ADPI","","Adenophorus pinnatifidus Gaudich.","graceful kihifern","Grammitidaceae"
"ADPI","POSA24","Polypodium sarmentosum Brack.","","Grammitidaceae"
"ADRA","","Adiantum raddianum C. Presl","delta maidenhair","Pteridaceae"
"ADRA","ADCU","Adiantum cuneatum Langsd. & Fisch.","","Pteridaceae"
"ADTA","","Adenophorus tamariscinus (Kaulf.) Hook. & Grev.","wahini noho mauna","Grammitidaceae"
"ADTA","AMTA4","Amphoradenium tamariscinum (Kaulf.) Copeland","","Grammitidaceae"
"ADTA","POTA4","Polypodium tamariscinum Kaulf.","","Grammitidaceae"
"ADTE","","Adiantum tenerum Sw.","fan maidenhair","Pteridaceae"
"ADTR2","","Adenophorus tripinnatifidus Gaudich.","royal kihifern","Grammitidaceae"
"AEPA3","","Aeschynomene paniculata Willd. ex Vogel","pannicle jointvetch","Fabaceae"
"AEPA3","AEPA4","Aeschynomene paniculatus Willd. ex Vog., orth. var.","","Fabaceae"
"AERVA","","Aerva Forssk.","aerva","Amaranthaceae"
"AESCH","","Aeschynomene L.","jointvetch","Fabaceae"
"AESE","","Aerva sericea Moq.","island puzzle","Amaranthaceae"
"AGAD2","","Ageratina adenophora (Spreng.) R.M. King & H. Rob.","sticky snakeroot","Asteraceae"
"AGAD2","EUAD2","Eupatorium adenophorum Spreng.","","Asteraceae"
"AGAD2","EUGL8","Eupatorium glandulosum Kunth, non Michx.","","Asteraceae"
"AGAM","","Agave americana L.","American century plant","Agavaceae"
"AGAMA","","Agave americana L. ssp. americana","American century plant","Agavaceae"
"AGAMA","AGAMM","Agave americana L. var. marginata Trel.","","Agavaceae"
"AGAMA","AGAMM2","Agave americana L. var. mediopicta Trel.","","Agavaceae"
"AGAMA","AGAMS","Agave americana L. var. striata Trel.","","Agavaceae"
"AGAMA2","","Agave americana L. ssp. americana var. americana","American century plant","Agavaceae"
"AGAV","","Agrostis avenacea J.F. Gmel.","Pacific bentgrass","Poaceae"
"AGAV","AGRE5","Agrostis retrofracta Willd.","","Poaceae"
"AGAV","LAFI3","Lachnagrostis filiformis (G. Forst.) Trin.","","Poaceae"
"AGAVE","","Agave L.","agave","Agavaceae"
"AGCA4","","Agrostis canina L.","velvet bentgrass","Poaceae"
"AGCA4","AGCAV","Agrostis canina L. var. varians (Thuill.) Ducomm.","","Poaceae"
"AGCA5","","Agrostis capillaris L.","colonial bentgrass","Poaceae"
"AGCA5","AGSY2","Agrostis sylvatica Huds.","","Poaceae"
"AGCA5","AGTE","Agrostis tenuis Sibth.","","Poaceae"
"AGCA5","AGTEA","Agrostis tenuis Sibth. var. aristata (Parnell) Druce","","Poaceae"
"AGCA5","AGTEH","Agrostis tenuis Sibth. var. hispida (Willd.) Philipson","","Poaceae"
"AGCA5","AGTEP","Agrostis tenuis Sibth. var. pumila (L.) Druce","","Poaceae"
"AGCA5","AGVU2","Agrostis vulgaris With.","","Poaceae"
"AGCO","","Ageratum conyzoides L.","tropical whiteweed","Asteraceae"
"AGERA","","Ageratum L.","whiteweed","Asteraceae"
"AGERA2","","Ageratina Spach","snakeroot","Asteraceae"
"AGHO3","","Ageratum houstonianum Mill.","bluemink","Asteraceae"
"AGRI2","","Ageratina riparia (Regel) R.M. King & H. Rob.","spreading snakeroot","Asteraceae"
"AGRI2","EURI4","Eupatorium riparium Regel","","Asteraceae"
"AGROS2","","Agrostis L.","bentgrass","Poaceae"
"AGSA3","","Agrostis sandwicensis Hillebr.","Hawai'i bentgrass","Poaceae"
"AGSA3","AGFA","Agrostis fallax Hillebr.","","Poaceae"
"AGSI2","","Agave sisalana Perrine","sisal hemp","Agavaceae"
"AGSI2","AGRIS","Agave rigida Mill. var. sisalana (Perrine) Engelm.","","Agavaceae"
"AGST2","","Agrostis stolonifera L.","creeping bentgrass","Poaceae"
"AGST2","AGALP","Agrostis alba L. var. palustris (Huds.) Pers.","","Poaceae"
"AGST2","AGALS","Agrostis alba L. var. stolonifera (L.) Sm.","","Poaceae"
"AGST2","AGMA10","Agrostis maritima Lam.","","Poaceae"
"AGST2","AGPA17","Agrostis palustris Huds.","","Poaceae"
"AGST2","AGSTC","Agrostis stolonifera L. var. compacta Hartm.","","Poaceae"
"AGST2","AGSTP","Agrostis stolonifera L. var. palustris (Huds.) Farw.","","Poaceae"
"AIAL","","Ailanthus altissima (Mill.) Swingle","tree of heaven","Simaroubaceae"
"AIAL","AIGL","Ailanthus glandulosa Desf.","","Simaroubaceae"
"AIAL","TOAL4","Toxicodendron altissimum Mill.","","Simaroubaceae"
"AICA","","Aira caryophyllea L.","silver hairgrass","Poaceae"
"AICAC2","","Aira caryophyllea L. var. caryophyllea","silver hairgrass","Poaceae"
"AICAC2","ASCA22","Aspris caryophyllea (L.) Nash","","Poaceae"
"AIEL4","","Aira elegans Willd. ex Kunth","annual silver hairgrass","Poaceae"
"AIEL4","AICA3","Aira capillaris Host, non Savi","","Poaceae"
"AIEL4","AICAC","Aira caryophyllea L. var. capillaris (Host) Mutel","","Poaceae"
"AIEL4","AIELA","Aira elegans Willd. ex Kunth ssp. ambigua (Arcang.) Holub","","Poaceae"
"AIEL4","AIEL2","Aira elegantissima Schur","","Poaceae"
"AIEL4","ASCA23","Aspris capillaris (Host) Hitchc.","","Poaceae"
"AILAN","","Ailanthus Desf.","ailanthus","Simaroubaceae"
"AIRA","","Aira L.","hairgrass","Poaceae"
"ALBE","","Alternanthera bettzichiana (Regel) Voss","calicoplant","Amaranthaceae"
"ALBE","ACBE3","Achyranthes bettzichiana (Regel) Standl.","","Amaranthaceae"
"ALBE","ACFIB","Achyranthes ficoidea (L.) Lam. ssp. bettzichiana (Regel) Baker","","Amaranthaceae"
"ALBE","ALAM11","Alternanthera amoena (Lemaire) Voss","","Amaranthaceae"
"ALBE","ALTEV","Alternanthera tenella Colla var. versicolor (Lem.) Veldkamp","","Amaranthaceae"
"ALBIZ","","Albizia Durazz.","albizia","Fabaceae"
"ALBR5","","Alternanthera brasiliana (L.) Kuntze","Brazilian joyweed","Amaranthaceae"
"ALBR5","ACBR2","Achyranthes brasiliana (L.) Standl.","","Amaranthaceae"
"ALBR5","ALDE2","Alternanthera dentata (Moench) Stuchlik ex R.E. Fries","","Amaranthaceae"
"ALBR5","ALJA","Alternanthera jacquinii (Schrad.) Griseb. ex Kuntze","","Amaranthaceae"
"ALBR5","GOBR3","Gomphrena brasiliana L.","","Amaranthaceae"
"ALCA5","","Alternanthera caracasana Kunth","washerwoman","Amaranthaceae"
"ALCA5","ACPE3","Achyranthes peploides (Humb. & Bonpl. ex Schult.) Britton & P. Wilson","","Amaranthaceae"
"ALCA5","ALPE6","Alternanthera peploides (Humb. & Bonpl. ex Schult.) Urb.","","Amaranthaceae"
"ALCH2","","Albizia chinensis (Osbeck) Merr.","Chinese albizia","Fabaceae"
"ALCH2","ALST9","Albizia stipulata (Roxb.) B. Boivin","","Fabaceae"
"ALECT","","Alectryon Gaertn.","alectryon","Sapindaceae"
"ALEUR","","Aleurites J.R. Forst. & G. Forst.","aleurites","Euphorbiaceae"
"ALFI8","","Alternanthera ficoidea (L.) P. Beauv.","sanguinaria","Amaranthaceae"
"ALFI8","ACFI2","Achyranthes ficoidea auct. non (L.) Lam.","","Amaranthaceae"
"ALFI8","ALTE4","Alternanthera tenella Colla","","Amaranthaceae"
"ALLE","","Albizia lebbeck (L.) Benth.","woman's tongue","Fabaceae"
"ALLE","MILE6","Mimosa lebbeck L.","","Fabaceae"
"ALLY3","","Alsinidendron lychnoides (Hillebr.) Sherff","kuawawaenohu","Caryophyllaceae"
"ALLY3","SCLY","Schiedea lychnoides Hillebr.","","Caryophyllaceae"
"ALMA","","Alectryon macrococcus Radlk.","Hawai'i alectryon","Sapindaceae"
"ALMA11","","Alocasia macrorrhizos (L.) G. Don","giant taro","Araceae"
"ALMA11","ALAL11","Alocasia alba Schott","","Araceae"
"ALMA11","ALCR14","Alocasia crassifolia Engl.","","Araceae"
"ALMA11","ALIN10","Alocasia indica (Lour.) Spach","","Araceae"
"ALMA11","ALMA17","Alocasia macrorrhiza (L.) Schott, orth. var.","","Araceae"
"ALMA11","ARIN21","Arum indicum Lour.","","Araceae"
"ALMA11","COIN13","Colocasia indica (Lour.) Kunth","","Araceae"
"ALMA16","","Alstonia macrophylla Wall. ex G. Don","deviltree","Apocynaceae"
"ALMAA","","Alectryon macrococcus Radlk. var. auwahiensis G. Linney","Hawai'i alectryon","Sapindaceae"
"ALMAM2","","Alectryon macrococcus Radlk. var. macrococcus","Hawai'i alectryon","Sapindaceae"
"ALMAM2","ALMA2","Alectryon mahoe H. St. John & Frederick","","Sapindaceae"
"ALMO","","Aleurites moluccanus (L.) Willd.","Indian walnut","Euphorbiaceae"
"ALMO","ALJA7","Aleurites javanica Gand., orth. var.","","Euphorbiaceae"
"ALMO","ALJA10","Aleurites javanicus Gand.","","Euphorbiaceae"
"ALMO","ALMO2","Aleurites moluccana (L.) Willd., orth. var.","","Euphorbiaceae"
"ALMO","ALTR10","Aleurites triloba J.R. Forst. & G. Forst., orth. var.","","Euphorbiaceae"
"ALMO","ALTR","Aleurites trilobus J.R. Forst. & G. Forst.","","Euphorbiaceae"
"ALMOK3","","Aleurites moluccanus (L.) Willd. var. katoi O. Deg., I. Deg. & B.C. Stone","Indian walnut","Euphorbiaceae"
"ALMOK3","ALMOK2","Aleurites moluccana (L.) Willd. var. katoi O. Deg., I. Deg. & B.C. Stone, orth. var.","","Euphorbiaceae"
"ALMU2","","Alpinia mutica Roxb.","small shell ginger","Zingiberaceae"
"ALNE2","","Alnus nepalensis D. Don","Nepal alder","Betulaceae"
"ALNUS","","Alnus Mill.","alder","Betulaceae"
"ALOB4","","Alsinidendron obovatum Sherff","Waianae Range alsinidendron","Caryophyllaceae"
"ALOB4","ALOBP","Alsinidendron obovatum Sherff var. parvifolium O. Deg. & Sherff","","Caryophyllaceae"
"ALOB4","SCOB6","Schiedea obovata (Sherff) W.L. Wagner & Weller","","Caryophyllaceae"
"ALOCA","","Alocasia (Schott) G. Don","taro","Araceae"
"ALOE","","Aloe L.","aloe","Aloaceae"
"ALPHI","","Alphitonia Reissek ex Endl.","alphitonia","Rhamnaceae"
"ALPIN","","Alpinia Roxb.","alpinia","Zingiberaceae"
"ALPO3","","Alphitonia ponderosa Hillebr.","Hawai'i kauilatree","Rhamnaceae"
"ALPO3","ALPOA","Alphitonia ponderosa Hillebr. var. auwahiensis H. St. John","","Rhamnaceae"
"ALPO3","ALPOC","Alphitonia ponderosa Hillebr. var. costata H. St. John","","Rhamnaceae"
"ALPO3","ALPOG","Alphitonia ponderosa Hillebr. var. grandifolia H. St. John","","Rhamnaceae"
"ALPO3","ALPOK","Alphitonia ponderosa Hillebr. var. kauila H. St. John","","Rhamnaceae"
"ALPO3","ALPOL","Alphitonia ponderosa Hillebr. var. lanaiensis H. St. John","","Rhamnaceae"
"ALPU3","","Alternanthera pungens Kunth","khakiweed","Amaranthaceae"
"ALPU3","ACLE5","Achyranthes leiantha (Seub.) Standl.","","Amaranthaceae"
"ALPU3","ACRE5","Achyranthes repens L.","","Amaranthaceae"
"ALPU3","ALAC6","Alternanthera achyrantha (L.) R. Br. ex Sweet","","Amaranthaceae"
"ALPU3","ALRE2","Alternanthera repens (L.) Link, non J.F. Gmel.","","Amaranthaceae"
"ALPU4","","Alpinia purpurata (Vieill.) K. Schum.","red ginger","Zingiberaceae"
"ALSA10","","Albizia saponaria (Lour.) Blume ex Miq.","whiteflower albizia","Fabaceae"
"ALSE4","","Alternanthera sessilis (L.) R. Br. ex DC.","sessile joyweed","Amaranthaceae"
"ALSE4","ACSE4","Achyranthes sessilis (L.) Desf. ex Steud.","","Amaranthaceae"
"ALSE4","ALGL11","Alternanthera glabra Moq.","","Amaranthaceae"
"ALSE4","GOSE2","Gomphrena sessilis L.","","Amaranthaceae"
"ALSIN","","Alsinidendron H. Mann","alsinidendron","Caryophyllaceae"
"ALST11","","Alyxia stellata (J.R. Forst. & G. Forst.) Roem. & Schult.","Maile","Apocynaceae"
"ALST11","ALOL2","Alyxia oliviformis Gaudich.","","Apocynaceae"
"ALST11","ALOLL","Alyxia oliviformis Gaudich. var. lanceolata Hillebr.","","Apocynaceae"
"ALST11","ALOLM","Alyxia oliviformis Gaudich. var. myrtillifolia A. Gray ex Hillebr.","","Apocynaceae"
"ALST11","ALOLO","Alyxia oliviformis Gaudich. var. ovata Hillebr.","","Apocynaceae"
"ALSTO","","Alstonia R. Br.","alstonia","Apocynaceae"
"ALTER2","","Alternanthera Forssk.","joyweed","Amaranthaceae"
"ALTR5","","Alsinidendron trinerve H. Mann","mountain alsinidendron","Caryophyllaceae"
"ALTR5","SCTR9","Schiedea trinervis (H. Mann) Pax & K. Hoffm.","","Caryophyllaceae"
"ALVA2","","Alysicarpus vaginalis (L.) DC.","white moneywort","Fabaceae"
"ALVE2","","Aloe vera (L.) Burm. f.","Barbados aloe","Aloaceae"
"ALVE2","ALBA","Aloe barbadensis Mill.","","Aloaceae"
"ALVE2","ALPEV","Aloe perfoliata L. var. vera L.","","Aloaceae"
"ALVE2","ALVU3","Aloe vulgaris Lam.","","Aloaceae"
"ALVI6","","Alsinidendron viscosum (H. Mann) Sherff","climbing alsinidendron","Caryophyllaceae"
"ALVI6","SCVI2","Schiedea viscosa H. Mann","","Caryophyllaceae"
"ALVI6","SCVIL","Schiedea viscosa H. Mann var. laevis (Sherff) H. St. John","","Caryophyllaceae"
"ALYSI","","Alysicarpus Neck. ex Desv.","moneywort","Fabaceae"
"ALYXI","","Alyxia Banks ex R. Br.","alyxia","Apocynaceae"
"ALZE","","Alpinia zerumbet (Pers.) B.L. Burtt & R.M. Sm.","shellplant","Zingiberaceae"
"ALZE","ALNU3","Alpinia nutans (L.) Roscoe","","Zingiberaceae"
"ALZE","ALSP","Alpinia speciosa (Wendl.) K. Schum.","","Zingiberaceae"
"ALZE","CASP15","Catimbium speciosum (Wendl.) Holttum","","Zingiberaceae"
"ALZE","LASP7","Languas speciosa (Wendl.) Merr.","","Zingiberaceae"
"AMAR2","","Ambrosia artemisiifolia L.","annual ragweed","Asteraceae"
"AMAR4","","Ammophila arenaria (L.) Link","European beachgrass","Poaceae"
"AMARA","","Amaranthus L.","pigweed","Amaranthaceae"
"AMARE","","Ambrosia artemisiifolia L. var. elatior (L.) Descourtils","annual ragweed","Asteraceae"
"AMARE","AMEL2","Ambrosia elatior L.","","Asteraceae"
"AMBL2","","Amaranthus blitum L.","purple amaranth","Amaranthaceae"
"AMBLE2","","Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon","purple amaranth","Amaranthaceae"
"AMBLE2","AMBLE","Amaranthus blitum L. ssp. emarginatus (Moq. ex Uline & Bray) Carretero, Garmendia & Pedrol","","Amaranthaceae"
"AMBLE2","AMLI","Amaranthus lividus auct. non L.","","Amaranthaceae"
"AMBR5","","Amaranthus brownii Christoph. & Caum","Brown's amaranth","Amaranthaceae"
"AMBRO","","Ambrosia L.","ragweed","Asteraceae"
"AMCO","","Ammannia coccinea Rottb.","valley redstem","Lythraceae"
"AMCO","AMCOP","Ammannia coccinea Rottb. ssp. purpurea (Lam.) Koehne","","Lythraceae"
"AMCO","AMTE6","Ammannia teres Raf.","","Lythraceae"
"AMCR4","","Amaranthus cruentus L.","red amaranth","Amaranthaceae"
"AMCR4","AMHYC","Amaranthus hybridus L. ssp. cruentus (L.) Thell.","","Amaranthaceae"
"AMCR4","AMHYC2","Amaranthus hybridus L. var. cruentus (L.) Moq.","","Amaranthaceae"
"AMCR4","AMPA10","Amaranthus paniculatus L.","","Amaranthaceae"
"AMDU","","Amaranthus dubius Mart. ex Thell.","spleen amaranth","Amaranthaceae"
"AMHY","","Amaranthus hybridus L.","slim amaranth","Amaranthaceae"
"AMHY","AMCH7","Amaranthus chlorostachys Willd.","","Amaranthaceae"
"AMHY","AMIN6","Amaranthus incurvatus Tim. ex Gren. & Godr.","","Amaranthaceae"
"AMHY","AMPA11","Amaranthus patulus Bertol.","","Amaranthaceae"
"AMLI2","","Amaranthus lineatus R. Br.","Australian amaranth","Amaranthaceae"
"AMMAN","","Ammannia L.","redstem","Lythraceae"
"AMME","","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.","Menzies' fiddleneck","Boraginaceae"
"AMMEI2","","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders","common fiddleneck","Boraginaceae"
"AMMEI2","AMAR7","Amsinckia arizonica Suksd.","","Boraginaceae"
"AMMEI2","AMDE5","Amsinckia demissa Suksd.","","Boraginaceae"
"AMMEI2","AMEC","Amsinckia echinata A. Gray","","Boraginaceae"
"AMMEI2","AMIN5","Amsinckia intactilis J.F. Macbr.","","Boraginaceae"
"AMMEI2","AMIN3","Amsinckia intermedia Fisch. & C.A. Mey.","","Boraginaceae"
"AMMEI2","AMINE2","Amsinckia intermedia Fisch. & C.A. Mey. var. echinata (A. Gray) Wiggins","","Boraginaceae"
"AMMEI2","AMMI2","Amsinckia microphylla Suksd.","","Boraginaceae"
"AMMEI2","AMNA3","Amsinckia nana Suksd.","","Boraginaceae"
"AMMEI2","AMRI2","Amsinckia rigida Suksd.","","Boraginaceae"
"AMMOP","","Ammophila Host","beachgrass","Poaceae"
"AMRE","","Amaranthus retroflexus L.","redroot amaranth","Amaranthaceae"
"AMRE","AMRES","Amaranthus retroflexus L. var. salicifolius I.M. Johnst.","","Amaranthaceae"
"AMSIN","","Amsinckia Lehm.","fiddleneck","Boraginaceae"
"AMSP","","Amaranthus spinosus L.","spiny amaranth","Amaranthaceae"
"AMVI","","Amaranthus viridis L.","slender amaranth","Amaranthaceae"
"AMVI","AMGR10","Amaranthus gracilis Desf.","","Amaranthaceae"
"AMVI","AMVI5","Amaranthus viridus L., orth. var.","","Amaranthaceae"
"ANAGA","","Anagallis L.","pimpernel","Primulaceae"
"ANAR","","Anagallis arvensis L.","scarlet pimpernel","Primulaceae"
"ANAR","LYAR6","Lysimachia arvensis (L.) U. Manns & Anderb.","","Primulaceae"
"ANAR6","","Anthemis arvensis L.","corn chamomile","Asteraceae"
"ANAR6","ANARA2","Anthemis arvensis L. var. agrestis (Wallr.) DC.","","Asteraceae"
"ANARA7","","Anagallis arvensis L. ssp. arvensis","scarlet pimpernel","Primulaceae"
"ANCO2","","Anthemis cotula L.","stinking chamomile","Asteraceae"
"ANCO2","MACO22","Maruta cotula (L.) DC.","","Asteraceae"
"ANCO6","","Anredera cordifolia (Ten.) Steenis","heartleaf madeiravine","Basellaceae"
"ANCO6","BOGR4","Boussingaultia gracilis Miers","","Basellaceae"
"ANCO6","BOGRP","Boussingaultia gracilis Miers var. pseudobaselloides (Hauman) L.H. Bailey","","Basellaceae"
"ANDRO2","","Andropogon L.","bluestem","Poaceae"
"ANEMO","","Anemone L.","anemone","Ranunculaceae"
"ANETH","","Anethum L.","dill","Apiaceae"
"ANEV","","Angiopteris evecta (J.R. Forst.) Hoffm.","Oriental vessel fern","Marattiaceae"
"ANGIO","","Angiopteris Hoffm.","angiopteris fern","Marattiaceae"
"ANGL2","","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","bushy bluestem","Poaceae"
"ANGLG2","","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb. var. glomeratus","bushy bluestem","Poaceae"
"ANGLG2","ANVIA","Andropogon virginicus L. var. abbreviatus (Hack.) Fernald & Grisc.","","Poaceae"
